ps_wcode,ps_c_code,treatment,bl_age,edu_cat,religion,bl_quint_all,bl_quint_missing,bl_homeland,bl_agland,bl_cropsr,impute_ag,bl_dds_m,bl_mdd,impute_dd,bl_market,impute_market,bl_lefthome,bl_income,bl_ss_cont,bl_huscomm_cont,bl_extcomm_cont,bl_dec_cont,bl_lefthome_m,bl_ss_cont_m,bl_huscomm_cont_m,bl_extcomm_cont_m,bl_dec_cont_m,bl_income_m,dds_avg,mdd_avg,gardenprac,cropsr,poultrynum_avg,poultryegg_avg,knfg_score_el,knowscore,el_emp_market,el_emp_buygoods,el_emp_soldgoods,el_emp_buymarket,el_dec_income,el_selfefficacy,el_lefthome,el_income,el_ss_cont,el_huscomm_cont,el_extcomm_cont,el_dec_cont,el_network_cont
2117,176,1,28,3,2,2,0,10,20,18,0,4,0,0,0,0,1,0,2,.80000001,.66666669,.80000001,1,2,.80000001,.66666669,.80000001,0,5,.75,12,27.322128,7.5,14,3,3,2,1,0,1,1,1,1,1,2,2,1.6666666,1.2,.49056605
2118,176,1,24,3,2,2,0,8,70,2,0,4,0,0,2,0,1,1,2,2,.33333334,1.6,1,2,2,.33333334,1.6,1,3.25,0,8,6.7000155,0,0,2,2,2,1,0,1,0,1,0,1,1.6,1.6,0,1.2,.3018868
2119,176,1,21,0,2,2,0,12,0,8,0,4,0,0,0,0,0,0,2,1.2,0,0,0,2,1.2,0,0,0,4.25,.5,8,7.8466573,0,0,3,2,1,1,0,0,0,1,0,0,2,2,1.6666666,.80000001,.2264151
2120,176,1,36,2,2,2,1,8.2864914,81.982452,5.5263157,1,3.8928571,,1,.49122807,1,,,,,,,.42105263,1.7754385,1.7,.28654972,.82807016,.10526316,3.5,0,3,8.2146235,0,0,,4,0,0,0,0,0,1,1,0,2,2,2,1.6,.33962265
2121,176,1,21,1,2,4,0,10,252,8,0,4,0,0,0,0,1,0,2,1.2,0,0,1,2,1.2,0,0,0,3.75,.25,11,16.414623,0,0,3,3,1,1,0,0,0,1,0,0,2,2,1,.80000001,0
2122,176,1,25,2,2,1,0,14,0,10,0,4,0,0,1,0,1,0,2,1.6,0,1.2,1,2,1.6,0,1.2,0,7,1,2,2,0,0,,,,,,,,0,,,,,,,0
2123,176,1,19,2,1,4,0,5,336,3,0,3.8928571,,1,0,0,0,0,2,2,.66666669,0,0,2,2,.66666669,0,0,4.6666665,.33333334,1,2,1.5,0,,2,1,1,0,0,0,1,0,0,2,2,2,.80000001,.75471699
26,102,0,15,3,2,3,0,15,90,4,0,3,0,0,0,0,0,0,2,2,.33333334,0,0,2,2,.33333334,0,0,5,.75,8,11.2,4,21,,3,1,1,0,0,0,1,0,0,1.6,2,1.3333334,.80000001,.11320755
27,102,0,23,0,2,2,0,6,0,2,0,3,0,0,0,0,0,0,2,2,.33333334,1.6,0,2,2,.33333334,1.6,0,2.5,0,6,2.8,0,0,2,2,0,0,0,0,1,1,1,0,1.6,,.33333334,2,.26415095
28,102,0,23,2,2,3,0,6,30,0,0,3,0,0,0,0,0,0,2,2,1.6666666,0,0,2,2,1.6666666,0,0,3.5,0,3,1,1.5,3.5,2,3,0,0,0,0,1,1,0,0,1.6,1.6,1.3333334,2,.03773585
29,102,0,24,1,2,3,0,15,60,2,0,4,0,0,0,0,0,0,1.2,.80000001,0,0,0,1.2,.80000001,0,0,0,3,0,6,3.5999999,0,0,1,2,1,1,0,0,1,1,0,0,.40000001,2,1,2,.2264151
30,102,0,26,0,2,3,0,15,60,2,0,5,1,0,0,0,0,0,1.6,1.6,.66666669,.40000001,0,1.6,1.6,.66666669,.40000001,0,3.75,.25,5,3,0,0,1,4,0,0,0,0,0,1,0,0,1.6,0,.66666669,2,1.018868
